SESSION_DATETIME,READING_DATETIME,SCENARIO,ELECTRODE,FREQUENCY,VALUE
7/30/2021 9:35,7/30/2021 9:35,ClassicalMusic,AF3,THETA,44.254
,7/30/2021 9:35,ClassicalMusic,AF3,ALPHA,5.479
7/30/2021 9:35,7/30/2021 9:35,ClassicalMusic,AF3,BETA_L,1.911
7/30/2021 12:49,7/30/2021 12:49,Flip€hart,AF3,THETA,2X.n66
7/30/2021 12:49,7/30/2021 12:49,FlipChart,AF3,ALPHA,3.204
7/30/2021 12:49,7/30/2021 12:49,FlipChart,AF3,BETA_L,2.336
7/30/2021 12:49,,FlipChart,AF3,BETA_H,1.061
7/29/2021 12:41,7/29/2021 12:41,Meditation,AF3,BETA_L,2.134
7/29/2021 12:41,7/40/2021  12:41:00 PM,Meditation,AF3,BETA_H,1.129
7/29/2021 12:41,7/29/2021 12:41,Meditation,AF3,GAMMA,0.364
7/30/2021 9:26,7/30/2021 9:26,MetalMusic,AF3,THETA,4.c1..
7/30/2021 9:26,7/30/2021 9:26,MetalMusic,AF3,ALPHA,2.809
7/30/2021 9:26,7/30/2021 9:26,,AF3,BETA_L,2.72
,7/30/2021 9:26,MetalMusic,AF3,BETA_H,2.725
7/30/2021 9:26,7/30/2021 9:26,MetalMusic,AF3,GAMMA,1.014
7/30/2021 9:26,7/30/2021 9:26,MetalMusic,AF4,THETA,17.883
7/29/2021 14:44,7/29/2021 14:44,PlayingGuitar,AF4,BETA_L,7.269
7/29/2021 14:44,7/29/2021 14:44,PlayingGuitar,,BETA_H,3.867
7/29/2021 14:44,7/29/2021 14:44,PlayingGuitar,AF4,GAMMA,5.216
7/29/2021 14:44,7/29/2021 14:44,PlayingGuitar,T7,THETA,3.051
7/29/2021 14:44,7/29/2021 14:44,PlayingGuitar,T7,ALPHA,3.087
7/29/2021 14:44,7/29/2021 14:44,PlayingGuitar,T7,,2.237
7/30/2021 9:40,7/30/2021 9:40,TikTok,T7,BETA_H,1.139
7/30/2021 9:40,7/30/2021 9:40,TikTok,T7,GAMMA,0.709
7/30/2021 9:40,7/30/2021 9:40,TikTok,T8,THETA,3.443
7/30/2021 9:40,7/30/2021 9:40,TikTok,T8,ALPHA,
7/30/2021 9:40,7/30/2021 9:40,TikTok,T8,BETA_L,4.426
7/29/2021 16:19,7/29/2021 16:19,WorkMeeting,AF3,,180.759
7/29/2021 16:19,7/29/2021 16:19,WorkMeeting,AF3,ALPHA,25.884
7/29/2021 16:19,7/29/2021 16:19,,AF3,BETA_L,2.732
7/29/2021 16:19,7/29/2021 16:19,WorkMeeting,AF3,BETA_H,2.084
7/29/2021 16:19,,WorkMeeting,AF3,GAMMA,0.76
7/30/2021 7:59,7/30/2021 7:59,WorkNoEmail,T7,ALPHA,2.399
,7/30/2021 7:59,WorkNoEmail,T7,BETA_L,0.682
7/30/2021 7:59,7/30/2021 7:59,WorkNoEmail,T7,BETA_H,0.791
