SCENARIO,FREQUENCY,AVERAGE,STANDARDDEV,VARIANCE,MEDIAN,SQUAREROOT,SQUARED
ClassicalMusic,ALPHA,7.777962,24.4110681346845,595.900247476208,2.711,1.64651146367099,7.349521
ClassicalMusic,BETA_H,4.723593,24.8156899592638,615.818468154305,1.179,1.08581766425123,1.390041
ClassicalMusic,BETA_L,5.736879,26.6404347274045,709.712762465098,1.888,1.37404512298541,3.564544
ClassicalMusic,GAMMA,2.948180,14.8901250873315,221.71582511638,0.736,0.857904423581089,0.541696
ClassicalMusic,THETA,24.427348,44.3456262970043,1966.53457167355,3.564,1.88785592670627,12.702096
FlipChart,ALPHA,8.445476,31.38764816107,985.184457083119,2.518,1.58682072081253,6.340324
FlipChart,BETA_H,7.914753,35.1002263383593,1232.02588900405,1.522,1.23369364106329,2.316484
FlipChart,BETA_L,8.396797,35.6035911293416,1267.61570130533,2.171,1.47343136928735,4.713241
FlipChart,GAMMA,5.808373,25.4565872777517,648.03783582979,0.852,0.923038460737146,0.725904
FlipChart,THETA,16.873591,37.2762876919309,1389.5216240916,3.547,1.88334808253812,12.581209
Meditation,ALPHA,10.671168,28.5045828412788,812.511242955323,4.688,2.1651789764359,21.977344
Meditation,BETA_H,5.338387,25.451995735381,647.804086913851,1.203,1.0968135666557,1.447209
Meditation,BETA_L,6.924822,26.7689082448341,716.574448620349,2.05,1.43178210632764,4.2025
Meditation,GAMMA,3.491659,18.0459423556887,325.656035504841,0.564,0.750999334220744,0.318096
Meditation,THETA,11.666079,34.7119891018303,1204.92218740558,3.318,1.8215378118502,11.009124
MetalMusic,ALPHA,9.650912,29.6271622124895,877.768740765163,2.804,1.67451485511476,7.862416
MetalMusic,BETA_H,5.618648,26.939874244569,725.756824313191,1.155,1.07470926301023,1.334025
MetalMusic,BETA_L,6.936867,28.1599815474583,792.98456075319,1.872,1.36821051011897,3.504384
MetalMusic,GAMMA,3.653911,18.6571337259087,348.088638866438,0.641,0.800624756049924,0.410881
MetalMusic,THETA,24.818077,44.6693142779736,1995.34763806438,4.26,2.06397674405503,18.1476
PlayingGuitar,ALPHA,11.191530,31.6012092972671,998.636429049682,4.948,2.22441003414389,24.482704
PlayingGuitar,BETA_H,8.289997,29.3583755484744,861.914214845262,3.428,1.8514858897653,11.751184
PlayingGuitar,BETA_L,9.303153,29.9712895247515,898.278195776476,3.955,1.98871818013513,15.642025
PlayingGuitar,GAMMA,6.507499,23.0980401602907,533.519459246403,3.03,1.74068951855292,9.1809
PlayingGuitar,THETA,20.950802,40.4925457041182,1639.6462576001,4.838,2.19954540757858,23.406244
TikTok,ALPHA,8.037698,28.5023048898271,812.381384032661,2.374,1.54077902374091,5.635876
TikTok,BETA_H,4.157344,15.9046545170128,252.958035305537,1.387,1.17770964163498,1.923769
TikTok,BETA_L,5.616911,23.4353276460698,549.214581878644,1.847,1.35904378148756,3.411409
TikTok,GAMMA,2.259732,8.46946462655596,71.7318310604827,0.898,0.947628619238571,0.806404
TikTok,THETA,18.748600,39.0192169808214,1522.49929379642,3.54,1.88148877222268,12.5316
WorkMeeting,ALPHA,8.601305,20.406261595463,416.415512302467,2.488,1.57733953225043,6.190144
WorkMeeting,BETA_H,2.927371,8.04903682745084,64.7869938496599,1.277,1.13004424692133,1.630729
WorkMeeting,BETA_L,4.781246,13.7080623719449,187.910973993131,1.934,1.3906832852954,3.740356
WorkMeeting,GAMMA,2.216604,5.56406172187029,30.9587828447822,0.693,0.832466215530696,0.480249
WorkMeeting,THETA,30.950451,51.3735018916391,2639.23669661025,3.557,1.88600106044509,12.652249
WorkNoEmail,ALPHA,6.741859,18.2609537388156,333.462431451163,2.587,1.60841536923769,6.692569
WorkNoEmail,BETA_H,2.482174,7.47356148827471,55.8541213190229,1.491,1.22106510882917,2.223081
WorkNoEmail,BETA_L,3.983389,12.7064736691399,161.454473104545,2.159,1.46935359937627,4.661281
WorkNoEmail,GAMMA,1.705396,5.13509408521419,26.3691912640017,0.92,0.959166304662544,0.8464
WorkNoEmail,THETA,19.244751,42.1163813866923,1773.78958110932,3.36,1.83303027798234,11.2896
